"Comment ID","Reply to Which Comment","User ID","Username","Nick Name","Comment","Comment Time","Digg Count","Author Digged","Reply Count","Pinned to Top","User Homepage"
"=""7352664572624847662""","","=""6914411915638178821""","wethotshame","Wethotshame","What’s that white Christian nationalist birth cult called? That all the tech bros are doing?","01/04/2024, 00:54:10","14","Yes","4","No","https://www.tiktok.com/@wethotshame"
"=""7352684601619465003""","=""7352664572624847662""","=""7010573587704038405""","the_internette","The Internette","pronatalists","01/04/2024, 02:11:45","1","No","","","https://www.tiktok.com/@the_internette"
"=""7354793154889794350""","=""7352664572624847662""","=""6914411915638178821""","wethotshame","Wethotshame","Thank you! 🙏🏾","06/04/2024, 18:34:14","0","No","","","https://www.tiktok.com/@wethotshame"
"=""7352807166481236782""","=""7352664572624847662""","=""6760487002128303110""","the_whole_shenanigans","TheCaptn","It’s delusions of grandeur of one’s self.","01/04/2024, 10:08:28","0","No","","","https://www.tiktok.com/@the_whole_shenanigans"
"=""7352852150459351851""","=""7352664572624847662""","=""6914411915638178821""","wethotshame","Wethotshame","No it was Were seemingly left tech bros were urging others to have more kids to increase the IQ of society but really it’s just eugenics","01/04/2024, 13:03:26","2","Yes","","","https://www.tiktok.com/@wethotshame"
"=""7352628482625504042""","","=""6840035482056737798""","iroclastic","Iris Page","I love that his blight photo is of a sports area that needs resurfaced 😂","31/03/2024, 22:34:08","304","Yes","6","No","https://www.tiktok.com/@iroclastic"
"=""7352628905939125022""","=""7352628482625504042""","=""6759912431734195205""","artlust","Seema R","I know, right?","31/03/2024, 22:35:34","78","No","","","https://www.tiktok.com/@artlust"
"=""7352630293747270446""","=""7352628482625504042""","=""6840035482056737798""","iroclastic","Iris Page","I love your content, Seema ✨","31/03/2024, 22:41:04","0","No","","","https://www.tiktok.com/@iroclastic"
"=""7352631914362143519""","=""7352628482625504042""","=""6759912431734195205""","artlust","Seema R","Thanks","31/03/2024, 22:47:12","1","No","","","https://www.tiktok.com/@artlust"
"=""7352644894379164459""","=""7352628482625504042""","=""6785008872290649094""","globalconnectorpnw","Kaya","🤣🤣🤣🤣","31/03/2024, 23:37:46","1","No","","","https://www.tiktok.com/@globalconnectorpnw"
"=""7352671267860136734""","=""7352628482625504042""","=""7053250844721316869""","heathernicanfhleisdeir","Village Herbalist","Dude needs to get his seniors more active and then the courts will have funds to resurface it...","01/04/2024, 01:19:58","2","Yes","","","https://www.tiktok.com/@heathernicanfhleisdeir"
"=""7352890843621622559""","=""7352628482625504042""","=""6764436728701142022""","azeiai","user7393227223454","PLS","01/04/2024, 15:32:17","0","No","","","https://www.tiktok.com/@azeiai"
"=""7352857758112842542""","","=""6999251246428079109""","shnellsee","shnellsee","heavy on broodmare","01/04/2024, 13:24:15","43","Yes","0","No","https://www.tiktok.com/@shnellsee"
