"Comment ID","Reply to Which Comment","User ID","Username","Nick Name","Comment","Comment Time","Digg Count","Author Digged","Reply Count","Pinned to Top","User Homepage"
"=""7352611485834019626""","","=""6638463707532754950""","fleetingegos","Tyler","so we’re ignoring the issues with the last video? sounds good","31/03/2024, 21:28:15","0","No","4","No","https://www.tiktok.com/@fleetingegos"
"=""7352647149954515754""","=""7352611485834019626""","=""6914411915638178821""","wethotshame","Wethotshame","😂","31/03/2024, 23:46:38","0","No","","","https://www.tiktok.com/@wethotshame"
"=""7352647407501820714""","=""7352611485834019626""","=""6638463707532754950""","fleetingegos","Tyler","hey! what’s up? got something to say?","31/03/2024, 23:47:38","0","No","","","https://www.tiktok.com/@fleetingegos"
"=""7352616355637576453""","=""7352611485834019626""","=""6861380214426977285""","bubbs_nicki","🥸","Oh here you are again #streampinkfriday2","31/03/2024, 21:46:48","0","No","","","https://www.tiktok.com/@bubbs_nicki"
"=""7352619159894852395""","=""7352611485834019626""","=""6638463707532754950""","fleetingegos","Tyler","yep! and i don’t support a p3do defender. maybe try it sometime.","31/03/2024, 21:57:51","0","No","","","https://www.tiktok.com/@fleetingegos"
"=""7352636411242038062""","","=""1318227""","rheadivinee","rhea ⋆⭒˚｡⋆","he thought she meant pop up shop? 😭😭","31/03/2024, 23:04:56","4384","No","4","No","https://www.tiktok.com/@rheadivinee"
"=""7352640334582956842""","=""7352636411242038062""","=""7183421501159244843""","enbecool","Ched","what does she mean then??","31/03/2024, 23:20:02","35","No","","","https://www.tiktok.com/@enbecool"
"=""7352640655016362795""","=""7352636411242038062""","=""1318227""","rheadivinee","rhea ⋆⭒˚｡⋆","it just means she showed up spontaneously or unannounced","31/03/2024, 23:21:29","496","No","","","https://www.tiktok.com/@rheadivinee"
"=""7352662444064473889""","=""7352636411242038062""","=""6901057121795130374""","hunica","Em","honestly, so did I, didn’t even question it, I was like she committed to a pop up store to get laid, a unrelatable but relatable queen","01/04/2024, 00:46:11","169","No","","","https://www.tiktok.com/@hunica"
"=""7352739001016582955""","=""7352636411242038062""","=""7226092304993174571""","user3568326438","user3568326438","ngl i thought that too","01/04/2024, 05:42:49","3","No","","","https://www.tiktok.com/@user3568326438"
"=""7352595045911315231""","","=""6774901033455191046""","vibinbabie","VVIBEZ","✨TOGETHER✨","31/03/2024, 20:24:17","1156","No","0","No","https://www.tiktok.com/@vibinbabie"
"=""7352583028201341727""","","=""464741""","ashleycar__","Ashley Car","She ✨manifested ✨ it","31/03/2024, 19:37:31","2556","No","0","No","https://www.tiktok.com/@ashleycar__"
"=""7352585086490100523""","","=""5002499""","brownhairedbobblehead","Mary Jane","🤨🤔“How did you trip over the wire that’s on the floor, touching the floor” 🤣","31/03/2024, 19:45:42","1412","No","0","No","https://www.tiktok.com/@brownhairedbobblehead"
"=""7352699948490015494""","","=""6868729162723492869""","jasken_06","jen","I thought she meant she started a whole business for him 😭😭😂😂😂","01/04/2024, 03:11:14","187","No","0","No","https://www.tiktok.com/@jasken_06"
"=""7352584715650827038""","","=""7083647107621717038""","vixtoriaalvarez","v","you should make her your friend, she matched your energy. 🤭","31/03/2024, 19:44:15","249","No","0","No","https://www.tiktok.com/@vixtoriaalvarez"
"=""7352606423586571054""","","=""7101573440222217262""","reminotremy1","Remi 💙","It’s the collective stare at the disrespect for me 😂😂😂😂😂","31/03/2024, 21:08:31","696","No","0","No","https://www.tiktok.com/@reminotremy1"
"=""7352628921923437354""","","=""6815053870432666629""","jayadam917","Tubtalk","Aww he didn’t understand what she meant by pop up 😂","31/03/2024, 22:35:40","1054","No","0","No","https://www.tiktok.com/@jayadam917"
"=""7352638864441295646""","","=""6948621868493554693""","honeybee.beloved","honeybee.beloved","no comment
*comments*","31/03/2024, 23:14:11","12","No","0","No","https://www.tiktok.com/@honeybee.beloved"
"=""7352691421107815214""","","=""6975181976055809030""","thecocoschanel","thecocoschanel","The way yall both game him the death stare","01/04/2024, 02:38:28","33","No","0","No","https://www.tiktok.com/@thecocoschanel"
"=""7352593903416509190""","","=""6532044121886949377""","ashh.mart","ash 🪷","I love her vibe sm","31/03/2024, 20:19:48","69","No","0","No","https://www.tiktok.com/@ashh.mart"
"=""7352621066746921770""","","=""6802771994296501253""","bohemian_babe","Bohemian babe","The sigh had me weak 😂😭","31/03/2024, 22:05:11","18","No","0","No","https://www.tiktok.com/@bohemian_babe"
"=""7352593737413772062""","","=""6910274199408985094""","beaux._fanpage","Beaux🪼","Wait we need more of her 🤩🤩😭😭","31/03/2024, 20:19:09","71","No","0","No","https://www.tiktok.com/@beaux._fanpage"
"=""7352588038914327301""","","=""6769280849580295173""","eepymommy69","Kaylee<3","My sneaky link road a bike almost an hour just to come spend the night lmao","31/03/2024, 19:56:56","29","No","0","No","https://www.tiktok.com/@eepymommy69"
"=""7352599022048428831""","","=""6794098008566547462""","missmegan1987","Megan","Campaign for this person to join you in all of interview videos 😂","31/03/2024, 20:39:43","9","No","0","No","https://www.tiktok.com/@missmegan1987"
"=""7352580348316418862""","","=""6807840926317331462""","thiswasamistakeright","awasteofyourtime","chris? calm down 😂","31/03/2024, 19:27:22","13","No","0","No","https://www.tiktok.com/@thiswasamistakeright"
"=""7352616376483824427""","","=""7219476804368745518""","briadunn3","briadunn3","She got her money tho!!!!","31/03/2024, 21:47:06","6","No","0","No","https://www.tiktok.com/@briadunn3"
"=""7352705032877703982""","","=""53368794949111808""","kona81","Kona_","I flew from Virginia to Chicago in February:)","01/04/2024, 03:31:12","2","No","0","No","https://www.tiktok.com/@kona81"
"=""7352608485248910111""","","=""6650747427144400901""","ratsgorgeous21","meredithe","Love her","31/03/2024, 21:16:22","2","No","0","No","https://www.tiktok.com/@ratsgorgeous21"
"=""7352703465892889375""","","=""6585228682100146181""","marty_imscared1","Martha orr","I see you all the time in soho","01/04/2024, 03:24:57","0","No","0","No","https://www.tiktok.com/@marty_imscared1"
"=""7352580541055664927""","","=""6677728725470561285""","yeeyeekate","yeeyeekate","I’m so early omg luv u","31/03/2024, 19:27:59","2","No","0","No","https://www.tiktok.com/@yeeyeekate"
"=""7352703215806399274""","","=""6002253""","emilybohorquez","emily 🐻🩵","Chris is BACK WITH THE INTERVIEWSSSS","01/04/2024, 03:23:58","1","No","0","No","https://www.tiktok.com/@emilybohorquez"
"=""7353072057347490603""","","=""6874578531519824902""","taylor_inicia","user1650734228397","As a New Yorker, pop up means randomly showing up.","02/04/2024, 03:15:18","0","No","0","No","https://www.tiktok.com/@taylor_inicia"
"=""7353045935980888863""","","=""7210210515438830638""","your_local_sound_tech","Your Local Sound Tech","i’ve flown to alabama","02/04/2024, 01:33:53","0","No","0","No","https://www.tiktok.com/@your_local_sound_tech"
"=""7353182477332972295""","","=""6890361223939163142""","jessychrabs","Jessychrabs","5 mins lol","02/04/2024, 10:23:40","0","No","0","No","https://www.tiktok.com/@jessychrabs"
"=""7353083482790642462""","","=""6716765947698824197""","itstylerkidd","Tyler Kidd","she knew the vibes","02/04/2024, 03:59:32","0","No","0","No","https://www.tiktok.com/@itstylerkidd"
"=""7353361945222120238""","","=""6822029058186118150""","lex.maus","Lexi","I want to hangout with her","02/04/2024, 22:00:21","0","No","0","No","https://www.tiktok.com/@lex.maus"
"=""7353590329368888110""","","=""6679091355820803077""","earth222myahh","Myah","😭 ngl I thought she meant a little store too","03/04/2024, 12:47:11","0","No","0","No","https://www.tiktok.com/@earth222myahh"
"=""7352581003032396551""","","=""6937994193643537410""","whoareyoubetch","what?","im so early","31/03/2024, 19:29:37","0","No","0","No","https://www.tiktok.com/@whoareyoubetch"
